0,1,2
abecede,n, ABC; alphabet
abelgan,v," to make angry, tick off, enrage, irritate, annoy, vex, grill, incense, cause anyone to swell with anger, offend"
abeodan,v," to proclaim, announce, state, bid"
aberan,v," to bear, carry, tolerate, endure, suffer; thole"
aberendlic,adj, bearable; tolerable
abidan,v, to wait (+genitive for something)
abrastlian,vi, to resound; crash
abrecan,vt," to break, break to pieces, break down, conquer, vanquish, take by storm, capture, violate, destroy, assault"
abredwian,v, to lay low; kill
abreoþan,v," to degenerate, deteriorate, fall away"
abroþennes,n," dulness, cowardice, a defect, backsliding"
abugan,v," to bow, incline, bend, submit, do reverence"
ac,n, oak (wood or tree)
acan,v, to ache
accent,n, an accent
acennan,v," to beget, bring forth, produce"
acennedlic,adj, native
acierran,v, to turn away; to avert
acnyssan,v," to expel, beat off (with adverb ūt)"
acol,adj," frightened, terrified, excited, trembling"
acumendlic,adj, tolerable
acwelan,vi, to die
acweorna,n, squirrel
acweorran,v," to glut, guzzle, gorge; to eat or drink immoderately"
acweþan,v, to say
acwician,v, to quicken
acwinan,v," to dwindle, waste away"
acwincan,v," to become extinguished, quenched; to vanish"
acyrrednes,n," aversion, turning from"
ad,n," fire, funeral pyre"
adeadian,v, to die
adeliht,adj," filthy, dirty"
ademan,v," to judge, adjudge, deem, doom"
adesa,n, adze
adihtan,v," to edit, compose or write"
adilegian,v," to destroy (utterly); annihilate, wipe out"
adl,n," disease, sickness"
adlig,adj," sick, ill, diseased"
adrencan,vt, to drown someone
adreogan,v," to bear, suffer, endure"
adrincan,vi, to drown
adælan,v," to part, divide, separate"
afaran,v," to depart, march, go out of or from a place; fare from"
afigen,adj, fried
afol,n," power; power of body, might, strength"
afon,v," to receive, take up"
afor,adj," bitter, acidic, sour"
afremdan,v," to alienate, estrange"
afremdung,n, alienation
afulic,adj, perverse
afyllan,v, to fill (with)
agalan,v, to sing
agan,v," to own, possess"
agangan,v, to come to pass
agen,adj, own
agend,n, owner
agendfrea,n," owner, lord"
agengecyrran,v," to turn again, recur"
agengehweorfan,v, to change again
agenslaga,n, suicidee (one who kills oneself)
agenspræc,n, idiom
agenung,n," an owning, possession, property"
agiefan,v," to give back, return"
agiemeleasian,v, to neglect
agnettan,v," to appropriate, usurp"
agnian,v, to claim possession
agrapian,v, to handle; to grasp
agrisan,vi," to shudder, to feel horror, to dread, to quake"
ahabban,v, to support
ahatan,v," to call, name"
aheardian,v, to harden
aheardung,n, hardening
aheawan,v," to chop, cut (up, down)"
ahebban,v," to heave or lift up, raise from low to high, elevate, exalt, ferment"
ahierdan,v, to harden
ahierding,n, hardening
ahleoþrian,v," to sound, resound"
ahliehhan,v," to laugh at, to deride"
ahon,v," to hang, suspend, hang on the gallows or cross, crucify"
ahreran,v, to move
ahycgan,v," to devise, invent"
al,n, fire
alan,v, to nourish
alecgan,vt," to lay down, put down"
alfæt,n," a cooking vessel, cooking pot; cauldron"
aliefan,v, to allow
aliesan,v," to detach, remove"
alimpan,v," to happen, occur, take place"
all,adj, all
alor,n, alder
amarian,v, to amaze
amasian,v, to amaze
ambeaht,n, servant (West Saxon)
ambeht,n, service
ambehtan,v," to serve, minister"
amber,n, bucket
ambiht,n, servant
amearcian,v, to mark out; to distinguish by a mark; to denote or delineate
ametan,v, to measure
ametendlic,adj," measurable, limited, brief"
amierran,v," to lead astray, misguide"
amore,n," a kind of bird, probably the ammer"
ampella,n," a flask, bottle, flagon, vial"
an,adj, only
anad,n," waste, desert, solitude"
anbyrdnes,n, resistance
ancenned,adj, only-begotten
ancleow,n, ankle
ancor,n, anchor
ancuman,v," to come, arrive; oncome"
anda,n," envy, jealousy; a grudge, enmity"
andcwiss,n," a reply, answer"
andefn,n, measure
andelbære,adj," reversed, inverted"
andettan,v," to admit, confess"
andfang,n, acceptance
andfenge,adj, acceptable
andgiet,n," understanding, intellect"
andgiete,adj," obvious, plain"
andgietol,adj," intelligent, sensible, reasonable, understanding"
andgiettacen,n, perceptible sign
andgit,n, intelligence; wisdom
andian,v, to envy
andig,adj, envious
andlang,adj," throughout, all along"
andsaca,n," adversary, opponent, enemy"
andsware,n, an answer
andswarian,v, to answer
andswaru,n, answer
andswerian,v, to answer
andtimber,n," matter, materials, substance"
andustrian,v," to deny (by oaths), swear with oaths"
andweard,adj," present, current"
andweardian,v," to present, to bring before"
andweardnes,n, the present
andweorc,n," substance, matter, material"
andwig,n, resistance
andwis,adj," expert, skillful"
andwist,n," support, assistance"
andwlita,n, countenance; face
andwlitan,v, to look upon; to face
andwyrdan,v, to answer
aneged,adj, one-eyed
anemnan,v, to declare
anfeald,adj," single, sole"
anfealdnes,n," oneness, singleness, unity; onehood"
anfloga,n," Solitary flyer, lone fugitive, attacking flyer, approaching flyer (exact meaning debated)"
anforlætan,v, to leave alone
angbreost,n," asthma, shortness of breath"
ange,adj," narrow, tight, constrained"
angenga,n," lone traveler, solitary walker; loner"
anginn,n," a beginning, attempt, purpose, design"
angsum,adj," narrow, strait, troublesome, hard, difficult"
angsumnes,n," troublesomeness, sorrow, anxiety, anguish"
anhaga,n," a recluse, a loner"
anhealdan,v," to hold, keep"
anhende,adj, one-handed
anhorn,n, unicorn
aniege,adj, one-eyed
animan,v," to take away, to remove"
anlec,n," respect, onlook, regard"
anlicnes,n," a likeness, image, similitude, resemblance"
anliepig,adj," single, each, individual; separate, solitary, unique"
anlipig,adj, single; sole; only
anlæcan,v, to unite
anlætan,v, to leave alone; let alone; forbear; give up; relinquish
anmedla,n," pride, pomp, arrogance, presumption"
annes,n," oneness, union, unity"
ansien,n, face
ansund,adj," sound, healthy, uninjured"
antid,n," prime, the first hour or tide (3-hour period) after dawn"
anwig,n, duel
apa,n," monkey, ape"
apostata,n, apostate
apuldor,n, apple tree
ar,n," honour, glory, grace"
arcebiscop,n, archbishop
arcebiscoprice,n, an archbishopric
ardæde,adj, merciful
are,n," honor, glory, grace"
arfæst,adj," honorable, pious, righteous"
arian,v," to show mercy to, spare"
arisan,vi," to rise, arise, get up"
arleas,adj," honorless, disgraceful, wicked, impious"
arm,n, arm
arstafas,n," help, kindness"
arwe,n, arrow
aryþ,n, wave from an oar
arædan,v," to take counsel, care for, appoint, determine, fix"
aræran,v," to raise, lift up"
asawan,v, to sow
asceadan,v," to separate, dissociate, or segregate"
ascian,v," to demand, seek from"
asciendlic,adj, interrogative
ascung,n, an asking; inquiry
asecan,v," to search or seek out, seek for, require, demand"
asecgan,v," to tell, utter a word, speak out, assert, declare"
asellan,v," to expel, banish, deliver"
aseon,v, to look at
