word,pos,definition,definition_edited,edited
abecede,n,ABC; alphabet,ABC; alphabet,not_edited
abelgan,v," to make angry, tick off, enrage, irritate, annoy, vex, grill, incense, cause anyone to swell with anger, offend","to make angry, tick off, enrage, irritate, annoy, vex, grill, incense, cause anyone to swell with anger, offend",edited
abeodan,v," to proclaim, announce, state, bid","to proclaim, announce, state, bid",edited
aberan,v," to bear, carry, tolerate, endure, suffer; thole","to bear, carry, tolerate, endure, suffer; thole",edited
aberendlic,adj,bearable; tolerable,bearable; tolerable,not_edited
abidan,v,to wait (+genitive for something),to wait,edited
abrastlian,vi,to resound; crash,to resound; crash,not_edited
abrecan,vt," to break, break to pieces, break down, conquer, vanquish, take by storm, capture, violate, destroy, assault","to break, break to pieces, break down, conquer, vanquish, take by storm, capture, violate, destroy, assault",edited
abredwian,v,to lay low; kill,to lay low; kill,not_edited
abreoþan,v," to degenerate, deteriorate, fall away","to degenerate, deteriorate, fall away",edited
abroþennes,n," dulness, cowardice, a defect, backsliding","dulness, cowardice, a defect, backsliding",edited
abugan,v," to bow, incline, bend, submit, do reverence","to bow, incline, bend, submit, do reverence",edited
ac,n,oak (wood or tree),oak (wood or tree),not_edited
acan,v,to ache,to ache,not_edited
accent,n,an accent,an accent,not_edited
acennan,v," to beget, bring forth, produce","to beget, bring forth, produce",edited
acennedlic,adj,native,native,not_edited
acierran,v,to turn away; to avert,to turn away; to avert,not_edited
acnyssan,v," to expel, beat off (with adverb ūt)","to expel, beat off",edited
acol,adj," frightened, terrified, excited, trembling","frightened, terrified, excited, trembling",edited
acumendlic,adj,tolerable,tolerable,not_edited
acwelan,vi,to die,to die,not_edited
acweorna,n,squirrel,squirrel,not_edited
acweorran,v," to glut, guzzle, gorge; to eat or drink immoderately","to glut, guzzle, gorge; to eat or drink immoderately",edited
acweþan,v,to say,to say,not_edited
acwician,v,to quicken,to quicken,not_edited
acwinan,v," to dwindle, waste away","to dwindle, waste away",edited
acwincan,v," to become extinguished, quenched; to vanish","to become extinguished, quenched; to vanish",edited
acyrrednes,n," aversion, turning from","aversion, turning from",edited
ad,n," fire, funeral pyre","fire, funeral pyre",edited
adeadian,v,to die,to die,not_edited
adeliht,adj," filthy, dirty","filthy, dirty",edited
ademan,v," to judge, adjudge, deem, doom","to judge, adjudge, deem, doom",edited
adesa,n,adze,adze,not_edited
adihtan,v," to edit, compose or write","to edit, compose or write",edited
adilegian,v," to destroy (utterly); annihilate, wipe out","to destroy (utterly); annihilate, wipe out",edited
adl,n," disease, sickness","disease, sickness",edited
adlig,adj," sick, ill, diseased","sick, ill, diseased",edited
adrencan,vt,to drown someone,to drown someone,not_edited
adreogan,v," to bear, suffer, endure","to bear, suffer, endure",edited
adrincan,vi,to drown,to drown,not_edited
adælan,v," to part, divide, separate","to part, divide, separate",edited
afaran,v," to depart, march, go out of or from a place; fare from","to depart, march, go out of or from a place; fare from",edited
afigen,adj,fried,fried,not_edited
afol,n," power; power of body, might, strength","power; power of body, might, strength",edited
afon,v," to receive, take up","to receive, take up",edited
afor,adj," bitter, acidic, sour","bitter, acidic, sour",edited
afremdan,v," to alienate, estrange","to alienate, estrange",edited
afremdung,n,alienation,alienation,not_edited
afulic,adj,perverse,perverse,not_edited
afyllan,v,to fill (with),to fill,edited
agalan,v,to sing,to sing,not_edited
agan,v," to own, possess","to own, possess",edited
agangan,v,to come to pass,to come to pass,not_edited
agen,adj,own,own,not_edited
agend,n,owner,owner,not_edited
agendfrea,n," owner, lord","owner, lord",edited
agengecyrran,v," to turn again, recur","to turn again, recur",edited
agengehweorfan,v,to change again,to change again,not_edited
agenslaga,n,suicidee (one who kills oneself),suicidee (one who kills oneself),not_edited
agenspræc,n,idiom,idiom,not_edited
agenung,n," an owning, possession, property","an owning, possession, property",edited
agiefan,v," to give back, return","to give back, return",edited
agiemeleasian,v,to neglect,to neglect,not_edited
agnettan,v," to appropriate, usurp","to appropriate, usurp",edited
agnian,v,to claim possession,to claim possession,not_edited
agrapian,v,to handle; to grasp,to handle; to grasp,not_edited
agrisan,vi," to shudder, to feel horror, to dread, to quake","to shudder, to feel horror, to dread, to quake",edited
ahabban,v,to support,to support,not_edited
ahatan,v," to call, name","to call, name",edited
aheardian,v,to harden,to harden,not_edited
aheardung,n,hardening,hardening,not_edited
aheawan,v," to chop, cut (up, down)","to chop, cut (up, down)",edited
ahebban,v," to heave or lift up, raise from low to high, elevate, exalt, ferment","to heave or lift up, raise from low to high, elevate, exalt, ferment",edited
ahierdan,v,to harden,to harden,not_edited
ahierding,n,hardening,hardening,not_edited
ahleoþrian,v," to sound, resound","to sound, resound",edited
ahliehhan,v," to laugh at, to deride","to laugh at, to deride",edited
ahon,v," to hang, suspend, hang on the gallows or cross, crucify","to hang, suspend, hang on the gallows or cross, crucify",edited
ahreran,v,to move,to move,not_edited
ahycgan,v," to devise, invent","to devise, invent",edited
al,n,fire,fire,not_edited
alan,v,to nourish,to nourish,not_edited
alecgan,vt," to lay down, put down","to lay down, put down",edited
alfæt,n," a cooking vessel, cooking pot; cauldron","a cooking vessel, cooking pot; cauldron",edited
aliefan,v,to allow,to allow,not_edited
aliesan,v," to detach, remove","to detach, remove",edited
alimpan,v," to happen, occur, take place","to happen, occur, take place",edited
all,adj,all,all,not_edited
alor,n,alder,alder,not_edited
amarian,v,to amaze,to amaze,not_edited
amasian,v,to amaze,to amaze,not_edited
ambeaht,n,servant (West Saxon),servant,edited
ambeht,n,service,service,not_edited
ambehtan,v," to serve, minister","to serve, minister",edited
amber,n,bucket,bucket,not_edited
ambiht,n,servant,servant,not_edited
amearcian,v,to mark out; to distinguish by a mark; to denote or delineate,to mark out; to distinguish by a mark; to denote or delineate,not_edited
ametan,v,to measure,to measure,not_edited
ametendlic,adj," measurable, limited, brief","measurable, limited, brief",edited
amierran,v," to lead astray, misguide","to lead astray, misguide",edited
amore,n," a kind of bird, probably the ammer","a kind of bird, probably the ammer",edited
ampella,n," a flask, bottle, flagon, vial","a flask, bottle, flagon, vial",edited
an,adj,only,only,not_edited
anad,n," waste, desert, solitude","waste, desert, solitude",edited
anbyrdnes,n,resistance,resistance,not_edited
ancenned,adj,only-begotten,only-begotten,not_edited
ancleow,n,ankle,ankle,not_edited
ancor,n,anchor,anchor,not_edited
